Product Name (English),Product Status,Product Token,Product Type,Description (English),Selling Method,Case Size,Minimum Order Quantity,Item Weight,Item Weight Unit,Item Length,Item Width,Item Height,Item Dimensions Unit,Packaged Weight,Packaged Weight Unit,Packaged Length,Packaged Width,Packaged Height,Packaged Dimensions Unit,Option Status,SKU,GTIN,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,USD Unit Wholesale Price,USD Unit Retail Price,CAD Unit Wholesale Price,CAD Unit Retail Price,GBR Unit Wholesale Price,GBR Unit Retail Price,EUR Unit Wholesale Price,EUR Unit Retail Price,AUD Unit Wholesale Price,AUD Unit Retail Price,Option Image,Preorder,Ship By Date (YYYY-MM-DD),"Ship By End Date (if range, YYYY-MM-DD)",Deadline To Order (YYYY-MM-DD),Sell After Order By/Ship Date,Product Images,Made In Country,Tester Price (USD),Tester Price (CAD),Tester Price (GBP),Tester Price (EUR),Tester Price (AUD),Customizable,Customization Instructions,Customization Input Required,Customization Input Character Limit,Customization Minimum Order Quantity,Customization Charge Per Unit (USD),Customization Charge Per Unit (CAD),Customization Charge Per Unit (GBP),Customization Charge Per Unit (EUR),Customization Charge Per Unit (AUD),Continue selling when out of stock,On Hand Inventory,On Hand Inventory (Read Only),Restock Date,HS6 Tariff Code
Mandatory,"Optional, defaults to Published",Do not edit for exported products. Leave blank for new products.,Optional,Optional,Mandatory,"Mandatory if selling by the case. Leave blank for ""By the item"" or ""Open sizing"".",Mandatory,Optional,"Mandatory if item weight is provided. Select between kg, g, lb, or oz",Optional,Optional,Optional,Mandatory if item dimensions are provided. Select between cm or in,Optional,"Mandatory if packaged weight is provided. Select between kg, g, lb, or oz",Optional,Optional,Optional,Mandatory if packaged dimensions are provided. Select between cm or in,"Optional, defaults to Published",Optional,Optional,Optional,Mandatory if Option 1 Name is filled,Optional,Mandatory if Option 2 Name is filled,Optional,Mandatory if Option 3 Name is filled,Mandatory,Mandatory,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Mandatory if Preorder,Optional if Preorder,Optional if Preorder,Optional if Preorder,"Mandatory for at least 1 row per product, and should contain at least 1 URL or image filename",Optional,"Optional, defaults to blank which means there is not a tester","Optional, defaults to blank which means there is not a tester","Optional, defaults to blank which means there is not a tester","Optional, defaults to blank which means there is not a tester","Optional, defaults to blank which means there is not a tester","Optional, default to No",Mandatory for products with customizations,"Optional, default to No",Mandatory for products with customizations,Mandatory for products with customizations,"Optional, default to $0.00","Optional, default to $0.00","Optional, default to £0.00","Optional, default to €0.00","Optional, default to $0.00",Optional,Optional,Optional,Optional,Optional
product_name_english,info_status_v2,info_product_token,info_product_type,product_description_english,selling_method,case_quantity,minimum_order_quantity,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,packaged_weight,packaged_weight_unit,packaged_length,packaged_width,packaged_height,packaged_dimensions_unit,option_status,sku,gtin,option_1_name,option_1_value,option_2_name,option_2_value,option_3_name,option_3_value,price_wholesale,price_retail,canadian_price_wholesale,canadian_price_retail,uk_price_wholesale,uk_price_retail,eu_price_wholesale,eu_price_retail,australian_price_wholesale,australian_price_retail,option_image,preorderable,ship_by_start_date,ship_by_end_date,order_by_date,keep_active,product_images,made_in_country,tester_price,canadian_tester_price,uk_tester_price,eu_tester_price,australian_tester_price,has_customization,customization_instructions,customization_input_required,customization_input_limit,customization_moq,customization_charge,canadian_customization_charge,uk_customization_charge,eu_customization_charge,australian_customization_charge,continue_selling_when_out_of_stock,on_hand_inventory,on_hand_inventory_original,restock_date,tariff_code
Heart Valentines Day Big Heart - letterpress card,Published,p_8ba5xyg6x7,Valentine's Day Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,,,,,,,,,,,,,Published,1365,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/67a4a7fc06f19a6678701b5f65533be8c5bae13a214d3f68a20b8cefa0a83545.jpeg https://cdn.faire.com/fastly/5296fdec41d45a3f2e0b814b80393bc326b8446fb669e4f1d9ed07ea9600912b.jpeg,United States,,,,,,No,,,,,,,,,,Yes,194,194,,
New Year Peace Dove - Box of Six,Draft,p_cysjqjdezx,New Year's Card,"Each card was printed by hand on a vintage platen letterpress with hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. 
Folded note card and coordinating envelope, card comes packaged in a clear sleeve. 

A2 Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,,United States,,,,,,No,,,,,,,,,,Yes,,,,490900
Merry Christmas Letter - box of 6,Published,p_fe7cbf935x,Christmas Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,6.00,oz,,4.30,5.50,in,,,,,,,Published,1370B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/924ea35ef16f560440fdd075c2de8df9e6ef5275d66e47a0200fa2cffeb7834b.jpeg https://cdn.faire.com/fastly/a96d81d2a4ae4654a89a58dc4df793191daf25417a26e115eb104b68727489b2.jpeg https://cdn.faire.com/fastly/db076f06588d8e5058d8763731de697d57ef0885dbb5a6c31c1a708e35c7bbad.jpeg https://cdn.faire.com/fastly/b19aa9f06c6be17ddabd6e2e24d284671242c2daaa468cd24525786ce633325f.jpeg https://cdn.faire.com/fastly/1a0ea41b869b69b64830ca4e62f088ecf56d01cba6179af9ff45dd39ef32f255.jpeg https://cdn.faire.com/fastly/0513dd6f6eccda9192ac1a998565200b729fd2a231b5008f41fdc7640981a7eb.jpeg,United States,,,,,,No,,,,,,,,,,Yes,28,28,,490900
Happy Holidays Penguin - Box of 6,Published,p_rwu66usjt3,Season's Greetings Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,1.00,oz,,4.30,5.50,in,,,,,,,Published,1368B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/b7dcd374bdb7c08049c2afc042eb037df2ab82bfa0c2980f4b9ec2571707fdac.jpeg https://cdn.faire.com/fastly/798de0038c08fcaa5b86f02ad6646d26363c5d7779afd9050676b36036f75946.jpeg https://cdn.faire.com/fastly/5dc09100c3726f8295509747d8eb6a987061233e847d37dcc1ad12b6bdfd5bcc.jpeg https://cdn.faire.com/fastly/fd35439b1b9cec16cc920fedaf6df2abe7ac068db9462718ddc332737647c4a3.jpeg https://cdn.faire.com/fastly/b024924ac1e555093eefef867f4f5cf88dc6e1fcd23e348d0ed175fe7fb99019.jpeg,United States,,,,,,No,,,,,,,,,,No,28,28,,490900
Thank You Vibes - boxes set of 6,Published,p_7ejb7wvjdy,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,5.00,oz,,4.30,5.50,in,,,,,,,Published,1353-B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/e376fa0334c21f675aa76e84545cefcb75c7820f7a60195e2f231228ef2462ca.jpeg https://cdn.faire.com/fastly/7e74e0ff6e82fb7cf5139f243f04378410ec16f4546728d6b44cab53ac1954fc.jpeg,United States,,,,,,No,,,,,,,,,,No,24,24,,490900
Thank You Tulips - boxed set of 6,Published,p_hcuskfs8tc,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,5.00,oz,,4.30,5.50,in,,,,,,,Published,1311-B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/59529532a034f0d09b2d77ba011f68271756b74102b16ef8f83ef61cd1636532.jpeg https://cdn.faire.com/fastly/a17602953e1f216200104a820c422a821c0813c80580091b4da3013335d760ba.jpeg https://cdn.faire.com/fastly/db4d786647109ca9c610a383b84b554ca7a5620e6d7e5493df29e00e3d5da206.jpeg,United States,,,,,,No,,,,,,,,,,Yes,,,,490900
Thank You Pink Flowers - boxed set of 6,Published,p_k72dp7m8q6,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,1.00,oz,,4.30,5.50,in,,,,,,,Published,1339-B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c6b60d033e85be54fb3bcc8a80da5c3af07ee43871c284a242b3210b73893328.jpeg https://cdn.faire.com/fastly/e4b32c9419ecc2300ce20eba480a7d5a9ca2b2a15c25f590ffd3f8ffba0c6493.jpeg https://cdn.faire.com/fastly/acc9e8252b29029c47a8ad76cb4ecbb044dda11923020beb73d9de658db2f4c5.jpeg,United States,,,,,,No,,,,,,,,,,Yes,16,16,,490900
Thank You Big Heart- boxed set of 6,Published,p_btmmx8zemr,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,4,4,5.00,oz,,4.30,5.50,in,,,,,,,Published,1359-B,,,,,,,,$11.00,$22.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/7a78fcd77ad009ba71f78dec7b9f6dc275ede0518727cc1a2b1f0c5801b67cdf.jpeg https://cdn.faire.com/fastly/079bf8ff51e8291e195999086001806cbfc1274043eabb9d8519ba66c1a49edf.jpeg https://cdn.faire.com/fastly/6c73b24f74630bcbca6408aaffb87c0ad2ed8d3c50719e6fe07621248d048123.jpeg,United States,,,,,,No,,,,,,,,,,Yes,24,24,,490900
